Camber,Position,Thickness,Re
0,1,8,200000
0,1,8,400000
0,1,8,450000
0,1,8,1000000
0,1,10,500000
0,2,8,200000
0,2,8,400000
0,2,8,450000
0,2,8,1000000
0,2,10,500000
0,3,8,200000
0,3,8,400000
0,3,8,450000
0,3,8,1000000
0,3,10,500000
0,4,8,200000
0,4,8,400000
0,4,8,450000
0,4,8,1000000
0,4,10,500000
0,5,8,200000
0,5,8,400000
0,5,8,450000
0,5,8,1000000
0,5,10,500000
0,6,8,200000
0,6,8,400000
0,6,8,450000
0,6,8,1000000
0,6,10,500000
0,7,8,200000
0,7,8,400000
0,7,8,450000
0,7,8,1000000
0,7,10,500000
0,8,8,200000
0,8,8,400000
0,8,8,450000
0,8,8,1000000
0,8,10,500000
1,1,8,350000
1,2,8,250000
1,2,8,450000
1,3,8,450000
1,4,8,250000
1,4,10,200000
1,5,8,200000
1,5,10,200000
1,6,8,150000
1,6,8,200000
1,6,8,450000
1,6,8,750000
1,6,10,150000
1,7,8,150000
1,7,10,250000
1,7,10,350000
1,8,8,250000
1,8,8,300000
1,8,8,750000
1,8,10,250000
2,2,8,200000
2,3,8,150000
2,3,8,250000
2,3,8,400000
2,3,8,500000
2,4,8,750000
2,5,8,150000
2,5,8,250000
2,5,8,350000
2,5,10,250000
2,6,8,100000
2,6,8,450000
2,6,8,500000
2,6,8,750000
2,8,8,350000
2,8,8,450000
2,8,10,300000
3,1,8,200000
3,1,10,1000000
3,1,10,1250000
3,2,8,350000
3,2,8,750000
3,2,10,400000
3,3,8,300000
3,4,8,350000
3,5,8,200000
3,5,8,300000
3,5,8,400000
3,6,8,100000
3,6,8,350000
3,6,8,500000
3,7,8,750000
3,8,8,250000
3,8,8,1000000
4,1,8,150000
4,1,8,1250000
4,1,14,350000
4,1,16,250000
4,2,8,350000
4,2,8,750000
4,2,8,1500000
4,3,8,750000
4,4,8,250000
4,5,8,100000
4,5,8,250000
4,5,8,300000
4,5,8,500000
4,7,8,250000
4,7,8,350000
4,8,8,100000
4,8,8,350000
4,8,8,750000
5,1,8,250000
5,1,8,1250000
5,1,12,1750000
5,2,8,300000
5,3,8,500000
5,4,8,150000
5,4,8,250000
5,7,8,250000
5,8,8,350000
5,8,8,400000
5,8,8,500000
5,8,8,750000
6,1,8,300000
6,1,8,750000
6,1,10,500000
6,1,12,100000
6,1,12,1000000
6,1,18,2000000
6,2,8,350000
6,3,8,750000
6,4,8,200000
6,4,8,250000
6,4,8,300000
6,5,8,150000
6,6,8,300000
6,7,8,300000
6,7,8,400000
6,8,8,200000
6,8,8,350000
6,8,8,500000
6,8,8,750000
6,8,10,150000
7,1,10,450000
7,1,10,1750000
7,1,14,2000000
7,1,20,1500000
7,6,8,100000
7,6,8,400000
7,7,8,100000
7,7,8,350000
7,7,8,450000
8,1,8,450000
8,1,10,1750000
8,1,12,400000
8,1,12,1000000
8,1,14,1750000
8,1,16,400000
8,1,22,2000000
8,2,8,400000
8,2,10,1000000
8,2,12,1000000
8,3,8,350000
8,3,8,1000000
8,7,8,300000
8,8,8,450000
